it,es,tr,fr,pt,ru
prendere per il culo,concha,hıyar,connard,filho da puta,блядина
a pecorina,carajo,siktir orospu çocuğu,je m’en fou,pisso,закрой рот
baldracca,chilito,taşak,je m’en fous,puta que pariu,чушка
porca madonna,joderse,aptal,t’as intérêt ne pas m’énervé,cabra,куни
che due palle,costar un huevo,abaza,je m’en fiche,escroto,жидоёбское
intro culo di mammata,maldición,kaşar,emmerdeur,saco de merda,тварь
sembri un peni,mostacero,onbeş,mange de la merde,cracudo,мымра
che due coglioni,tu madre es una estupida,denyo,je veux faire l’amour avec toi,foder,пасть забей
pezzo di merda,pichacorta,götüne koyarım,papier q,vai se foder,еврей
fica,we,götünü sikerim,ça me fait chier,vagabundo,падла ебаная
va’ a fare in culo,pinche puta,31 çekelim,ducon,porra,выблядок
puttanaio,mamon,lavuk,t’es rien qu’un petit connard,pra caralho,алкоголик
tua mamma bocchinara,huey,amına koyarım,putain de merde,broche,гандон штопаный
ma’ va te ne a fanculo,"chinga tu madre, cabron",sıçtık,s’en foutre,pixota,зануда
scoregge,cojón,ezik,va te faire enculer,chupa meu pau,пендосия
faccia a culo,remojar el cochayuyo,götten bacaklı,tu es con,pau,сука
cazzo si,chichi,sikindirik,je me fais chier,galinha,пидор
sfigati,wea,yavşak,"meurs, pute",cacete,страхоёбище
ditalino,soplapollas,hiçbir lanet yolu,batard,bicha,срака
inculare,sucia,şapka,pétasse,arrombado,бомж
porco cane,hueva,amına koğumun piçi,dégage,pica,радужный мальчик
stronzo,pargo,sıçarım babanın şarap çanağına,tu fais chier,rego do cu,стоячек
fare una sega,te cogieron de pendejo,ecdadını sikeyim,enfoiré,piça,взбляд
va fangool,rabo,film,ma couille,corno,а хули
zoccole,me cago en el coño de tu madre,sikim sokum,chiante,negão,святоша
avere un culo così grande,maricon,sikimtronik,nom de dieu,merda,ёбаный стос
vai a farti fottere,hasta la madre,sikitr,ta race,xoxota,алень
mignotte,pinche idiota,orospu,mes couilles en toi,boquete,пиздоблошка
mangia merda,putain,yarrak,une casse-couille,olho do cu,хуедин
ce l’hai piccolo,joto,abazan,rien à branler,chupa-mos,нихуя
mortacci tua,la cagada,siktir,ça fait shier,peido,голуби
mezza sega,te voy a romper la cara a trompadas,manda,pq,mijar,пришью
coglioni,cabrón,götveren,chatte,sapatão,гнойный
fatti una pugnetta,chingate,pislik,baise moi mor,mouro,блядский
bafangu chooch,coño ,şıllık,couille,siririca,наебнуться
vai a cacare,yo mataria tu,frikik,c’est pas con,foda,мухосоранск
stronza,maraca,siçan,crève la gueule ouverte,cu,елдак
coglione,peras,sıçarım gözlük camına dünyayı bombok görürsün,j’ai baisé ta mère,foda-se,наеб
posso leccare il tua figa,"no huyas, pendejo",zibidi,sale,vai apanhar no cu,хуеман
vai all’inferno,tocarse las peras,eline vermek,branleur,fodido,хуйня
stronzi,pete,feriştahını sikeyim,couillon,vai pro caralho,доебались
testa di minchia,tarado,puşt,bachie coupe,teu cu,выебон
bocchino,cara de monda,siktir git,baise,minete,хуле
manache,comerán mierda,götüne koyayım,enfoirée,babaca,змея
segarsi,maraco,hasiktir,va te faire foutre,mamada,волосня
culattone,plumífero,sığır,allez,cona,чучмен
vaffanculo,mamaverga,hayvan,je t’emmerde,paneleiro,на хуя
andare a puttane,cola,kaltak,enculée,cachorro,обламаться
culo,que te den por culo,yarrak kafa,"oh, merde",pachacha,мерхавеч
sti cazza,invertido,salak,c’est vraiment de ta faute,trepar,барыга
bacha ma culo,una pendejada,tek kürek yalova yapmak,ça craint,piroca,дерьмоед
cacare,mariquita,amsalak,dégueu,enrabar,ебанулось
essere un culo,maricona,götünden kan alırım,s’en branler,do caralho,дупло
minchia,agilipollado,ver,cul,negro,присунуть
dio cane!,pirobo,sikik,va t’en,cachorra,ахуел
figa,playo,yelloz,couilles,bobo,блядское
sfigato,parcha,sikmek,casse-toi,puta merda,настреляли по пиздюлятору
un pompino,joder,sıçışlardayız,niquer,fode-te,ебанько
leccami il culo,tontopollas,orospu çocuğu,pédé,piranha,манья
cacata,jode a tu madre,ejderha,idiote,caralho,спиздить
troia,cojeme,amına koyayım,putain,escrota,ебанула
figlio di puttana,pinche,am budalası,j’ai envie de chier,punheta,выблядовал
porca vacca,deje de ser tan pendejo,ciğerini sikeyim,t’es un salaud,vai tomar no cu,скотоёб
pompini,la he jodido,bok ye,foutre le bordel,cabrão,обосцать
leccaculo,chingóna,amcık ağızlı,vous sentez comme le boeuf et le fromage,viado,однохуйственно
figlio di Troia,trompada,motor,gross cul,rata,менты
gnocca,salchicha,kavat,chiant,que porra é essa,наебнулась
latrin!,las tetas,amını sikerim,quel salaud,canalha,ёбнул
porca miseria ,chuchamadre,beş,je me suis fait baiser,cagar,стоячок
che ti morisse  la mamma,choto,kicimi op,imbécile,preto,блядская
minchia!,cucaracha,böluk,film de cul,encher o saco,распиздошила
sputtanare,maldito,amcık hoşafı,s’en foutre de,pito,блядство
che due palle,homo,köylü,crève la gueule ouverte!,badalhoca,шоха
zuia,negraco,nataşa,fais chier,trouxa,жидоёбский
frocio,tortillera,ağzına sıçarım,rien à foutre,sacanagem,дерьмохеропиздократия
sborro,caray,embesil,sac vin,puta,прихуел
santo cazzo madre di cristo,ojete,ısır beni,petit tabernac,"vai para o caralho, vai-te foder",деревня
cavolo,puta,kıç,tu me gonfles,monte de merda,дурак
mignotta,pute,kevaşe,pédale,boiola,сволочь
porco giuda,chupamedias,sikimsonik,avale mes couilles,vai mamar na quinta pata do cavalo,писька
vai a cagare,chinga tu hermana,canın cehenneme,un casse-couille,brocha,молокосос
cazzata,comemierda,açık kapı,con,moor,злоебучий
merda,plon,yarrağımın antifrizi,c’est con,caceta,опездол
mannaggia,julandrón,mal,du pq,buceta,радужный
pompinara,me importa tres cojones,yarrağımı,face de cul,pila,дрянь
troie,tengo ganas,yosma,branleur de chiens morts,porra nenhuma,пошел нахуй
i coglioni,trolo,göte geldin,ta mere suce des bites en enfer,badalhoco,еблище
finocchio,julai,sikimtırak,merdasse,vaca,лось
cagare,vete a la chingada,dalga,se taire,nem fodendo,сексист
