productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3
B000E46LYG,Golden Valley Natural Buffalo Jerky,A3MQDNGHDJU4MK,0/0,3.0,-1,The description and photo on this product needs to be changed to indicate this product is the BuffalOs version of this beef jerky.,grocery gourmet food,meat poultry,jerky
B000GRA6N8,Westing Game,unknown,0/0,5.0,860630400,"This was a great book!!!! It is well thought through, and you can easily imagine the events happening. The Westing Game itself is a great way to tie two things together. The events are well sequenced and exciting. Ellen Raskin wrote a wonderful book",toys games,games,unknown
B000GRA6N8,Westing Game,unknown,0/0,5.0,883008000,"I am a first year teacher, teaching 5th grade. I have a special reading class with high comprehension levels. Reading this book to them was one of the best things I taught them this year. It expanded their minds by allowing them to put themselves in the characters place and was easy for the students to make mind movies. We even used up a whole reading class time in order to finish the book. The students couldn't wait to hear the end. An excellent book that I will be reading every year to my students.",toys games,games,unknown
B000GRA6N8,Westing Game,unknown,0/0,5.0,897696000,I got the book at my bookfair at school looking for something to do over the summer. it turned out i had read the thing a couple days after school let out. I loved it! I never suspected the ending. The overall plot was intriguingly superb. You can tell Raskin is an extremely intelligent person and writes for intelligent people. Those are just the qualities I look for in a good book and this one outshines them all. I recommend it to anyone and everyone. Even my mom liked it (and talk about a critic).,toys games,games,unknown
B00000DMDQ,I SPY A is For Jigsaw Puzzle 63pc,unknown,2/4,5.0,911865600,"Hi! I'm Martine Redman and I created this puzzle for Briarpatch using a great photo from Jean Marzollo and Walter Wick's terrific book, I Spy School Days. Kids need lots of practice to master the ABC's, and this puzzle provides an enjoyable reinforcing tool. Its visual richness helps non-readers and readers alike to remember word associations, and the wealth of cleverly chosen objects surrounding each letter promote language development. The riddle included multiplies the fun of assembling this colorful puzzle. For another great Briarpatch puzzle, check out I Spy Blocks. END",toys games,puzzles,jigsaw puzzles
B00000DMER,ThinkFun Rush Hour,unknown,2/2,5.0,912816000,"My eight year old loves this game, whenever he can coax it away from his father! I recommend you buy two so no one has to wait a whole afternoon for his or her turn. END",toys games,games,board games
B00004RYGX,Beetle Juice (1988),unknown,1/1,4.0,918000000,"The real joy of this movie doesn't lie in its fun special effects, its twisted, albiet cheerful view of the afterlife, or Michael Keaton's Robin Williams impressions, but in its witty send-up of the New York art scene. No community is so desperately in need of skewering but it's rarely done -- and even more rarely done well.Burton was kitschy before kitschy was cool and he figured out early on that Robert Goulet's best work would come in spoofing himself. The film is aging nicely and along with 'Ed Wood', it stands as the best example of Burton's whimsical, if slightly malevolent world view.",grocery gourmet food,beverages,juices
B00004CI84,Beetle Juice [VHS] (1988),unknown,1/6,3.0,928108800,"Okay, Tim Burton is genuine. He haunts you with his films a'la Ed Wood and Edward Scissorhands. But let me tell you a little something about Beetlejuice. Most of the plot just does pin-wheels over its own weird a** summery. A lot of this movie makes hardly NO sense. But thats not why I gave it such a crappy rating. The reason is really some of the dialogue is childish and unrealistic and mostly sounds forced. A lot of the special effects really got on my nerves and I dont care what year this movie was made in. Look at The Day The Earth Stood Still. 1950's, still excellent top-notch effects. Tim Burton has his unique way of showing us his visions with his own particular special effects, but I dont really go for half of it. Still, 3 stars is good considering........",grocery gourmet food,beverages,juices
B0007URYFM,Boundaries,unknown,2/2,5.0,931046400,"Boundaries, along with counseling, has given me tools to work toward a more functional marriage as well as being a better parent and friend.",beauty,makeup,nails
B00000J0NT,Crayola 120ct Original Crayons,unknown,9/9,5.0,931219200,"120 colors? I say 120 sticks of fun! And a free sharpener, with a shavings holder even!! This rainy day toy is so much fun, you'll even find yourself using it on sunny days!!!",toys games,arts crafts,drawing painting supplies
B00000J0NT,Crayola 120ct Original Crayons,unknown,1/2,5.0,931478400,"What a wonderful creation. Art, in our house, comes in many colors Thanks to Crayola! We unfortunately never seem to have enough crayons, though!",toys games,arts crafts,drawing painting supplies
B00000IVSN,Blue's Clues How To Host A [Toy],unknown,20/24,1.0,931824000,"My 4 year old loves Blue, but found this product complicated and cumbersome. The company needs to get a clue about young children. This was at about a 10 year old level. The idea is great but the execution was lacking. Overpriced and not as good as the oher Blue's Clues products that I have seen.",toys games,games,board games
B00000JN55,Pokemon Battle Figures #94 Gengar & #52 Meowth with Poke Ball and Battle Disks,unknown,0/0,5.0,931824000,"Meowth is the coolest, lots of play value. Great to to use kids imagination!",toys games,action toy figures,figures
B00000IWIA,Hungry Hungry Hippos,unknown,18/19,5.0,931824000,"Parents, don't try to play this game with your child if you have a headache! It's noisy--but so much fun! Even my 2 year old loves this game.I'm not sure how much educational value is in this game, but it's full of laughs and action. If you have active children, they'll love it. Parents--be forewarned--it's loud and pounding and bound to produce hearty laughter and squeals!",toys games,games,board games
B00000IVAK,Sequence Game,unknown,3/3,5.0,931824000,"Children as young as four can enjoy this game with their family. The youngest children will need assistance remembering to look for building to the 5 in a row sequence. Children and adults enjoy this game and it requires a level of concentration that makes for a very quiet game. Once you master this game, you don't want people talking and interrupting your thought processes. Truly this is a game for all ages, if you can match the card to the game board. A must for all singles and families. Get yours soon and enjoy!",toys games,games,board games
B00000ISPH,"Barbie Collector Edition Steppin' Out ""Great Fashions of the 20th Century"" 1930s",unknown,2/2,4.0,931910400,"1930s Steppin Out Barbie, with her long clinging gown chiffon wrap looks quite like 1930s star Jean Harlow. Harlow made the short platinum look popular and Barbie pulls it off just as well.",toys games,dolls accessories,dolls
